epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8295,1.18436,1.5228,1.22476,0.68184,0.51307,0.60846,0.454,1.08554,1.12872,1.12116,8.33e-06,8.33e-06,8.33e-06
2,113.075,1.20817,1.37634,1.24257,0.65969,0.55183,0.62534,0.46437,1.07988,1.09203,1.11882,1.72609e-05,1.72609e-05,1.72609e-05
3,168.006,1.24892,1.37966,1.26164,0.69697,0.5507,0.64217,0.47779,1.07359,1.07295,1.1156,2.55636e-05,2.55636e-05,2.55636e-05
4,223.645,1.1449,1.2784,1.2366,0.69366,0.57633,0.65785,0.49079,1.06345,1.04999,1.10884,3.32379e-05,3.32379e-05,3.32379e-05
5,277.617,1.15392,1.23184,1.21703,0.72114,0.60015,0.67405,0.50511,1.04812,1.01567,1.10086,4.02839e-05,4.02839e-05,4.02839e-05
6,332.762,1.07535,1.17971,1.17858,0.719,0.61513,0.68343,0.51592,1.03818,0.98967,1.09179,4.67016e-05,4.67016e-05,4.67016e-05
7,388.197,1.17666,1.25093,1.21442,0.73637,0.62518,0.6944,0.52557,1.03515,0.96392,1.08941,5.24909e-05,5.24909e-05,5.24909e-05
8,443.98,1.10162,1.20508,1.18277,0.74882,0.64627,0.70523,0.53515,1.03095,0.94517,1.08619,5.76519e-05,5.76519e-05,5.76519e-05
9,500.143,1.06373,1.15366,1.18269,0.79342,0.64647,0.72616,0.54935,1.01877,0.91827,1.0801,6.21846e-05,6.21846e-05,6.21846e-05
10,555.924,1.11682,1.09559,1.16229,0.7926,0.65438,0.74039,0.56234,1.0096,0.90085,1.07633,6.6089e-05,6.6089e-05,6.6089e-05
11,610.439,1.03634,1.07105,1.14056,0.80774,0.65405,0.7567,0.57606,0.99637,0.87483,1.06909,6.93651e-05,6.93651e-05,6.93651e-05
12,665.808,1.13526,1.13004,1.16514,0.81669,0.64937,0.76279,0.58363,0.98722,0.85649,1.06323,7.20129e-05,7.20129e-05,7.20129e-05
13,719.459,1.06762,1.12406,1.17888,0.82979,0.66084,0.77233,0.59131,0.9799,0.84269,1.05702,7.1876e-05,7.1876e-05,7.1876e-05
14,774.801,1.07887,1.06821,1.16705,0.82603,0.66762,0.77189,0.59767,0.97215,0.82678,1.0534,6.7949e-05,6.7949e-05,6.7949e-05
15,830.027,1.0659,1.05326,1.17581,0.83111,0.67293,0.77474,0.59879,0.96355,0.8117,1.04967,6.4022e-05,6.4022e-05,6.4022e-05
16,885.498,0.99946,0.98896,1.1172,0.79198,0.70666,0.78422,0.60222,0.95985,0.80179,1.04813,6.0095e-05,6.0095e-05,6.0095e-05
17,945.004,1.01468,0.98916,1.13242,0.8119,0.69691,0.78847,0.60609,0.95333,0.79174,1.04436,5.6168e-05,5.6168e-05,5.6168e-05
18,997.837,1.05276,1.0773,1.16461,0.84776,0.68266,0.79101,0.61022,0.94898,0.77977,1.04126,5.2241e-05,5.2241e-05,5.2241e-05
19,1050.9,1.05368,0.99171,1.13899,0.85262,0.68492,0.79394,0.61441,0.94398,0.77186,1.03758,4.8314e-05,4.8314e-05,4.8314e-05
20,1103.67,1.01515,0.98857,1.1186,0.83658,0.69693,0.79668,0.61748,0.93592,0.76528,1.03279,4.4387e-05,4.4387e-05,4.4387e-05
21,1157.1,1.07482,1.06534,1.14981,0.81349,0.70333,0.79642,0.6164,0.93179,0.76326,1.02905,4.046e-05,4.046e-05,4.046e-05
22,1209.83,1.07745,1.03216,1.1417,0.8715,0.67083,0.79542,0.61474,0.93297,0.76211,1.02914,3.6533e-05,3.6533e-05,3.6533e-05
23,1264.84,1.02812,0.94998,1.10806,0.81973,0.70074,0.79542,0.61481,0.93476,0.76408,1.02953,3.2606e-05,3.2606e-05,3.2606e-05
24,1319.04,1.03374,0.96916,1.11058,0.81355,0.70783,0.79702,0.61681,0.93654,0.76556,1.02973,2.8679e-05,2.8679e-05,2.8679e-05
25,1373.94,1.05655,0.96273,1.11971,0.81274,0.70324,0.79709,0.61629,0.93486,0.76537,1.02772,2.4752e-05,2.4752e-05,2.4752e-05
26,1427.63,1.02107,0.9761,1.11223,0.83682,0.68788,0.79111,0.61738,0.93277,0.76387,1.02567,2.0825e-05,2.0825e-05,2.0825e-05
27,1484.41,1.03878,0.95316,1.1278,0.84529,0.69245,0.79114,0.61994,0.93043,0.76032,1.02394,1.6898e-05,1.6898e-05,1.6898e-05
28,1539.09,0.98067,0.86915,1.0822,0.84304,0.69735,0.79267,0.62048,0.92803,0.7574,1.02231,1.2971e-05,1.2971e-05,1.2971e-05
29,1599.66,0.98711,0.89103,1.07838,0.83435,0.70308,0.79489,0.62168,0.92644,0.75699,1.02118,9.044e-06,9.044e-06,9.044e-06
30,1664.69,0.9948,0.91413,1.0997,0.83299,0.70605,0.79463,0.62181,0.92449,0.7553,1.01963,5.117e-06,5.117e-06,5.117e-06
