epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.207,1.19686,2.28194,1.33814,0.6544,0.46924,0.55709,0.40891,1.1307,1.83816,1.26987,1.309e-05,1.309e-05,1.309e-05
2,325.174,1.17648,2.06278,1.33449,0.69269,0.47546,0.56964,0.41507,1.12682,1.68954,1.25952,2.68281e-05,2.68281e-05,2.68281e-05
3,457.081,1.17848,1.85451,1.31661,0.73816,0.4818,0.60838,0.43829,1.12135,1.50257,1.25128,4.00007e-05,4.00007e-05,4.00007e-05
4,588.611,1.15333,1.7221,1.29159,0.70804,0.51445,0.64168,0.46115,1.09566,1.33683,1.23331,5.26078e-05,5.26078e-05,5.26078e-05
5,720.488,1.1552,1.54833,1.24417,0.77235,0.54133,0.65757,0.48118,1.07838,1.26022,1.2178,6.46494e-05,6.46494e-05,6.46494e-05
6,852.276,1.09547,1.49081,1.25965,0.69361,0.59536,0.6692,0.49714,1.05936,1.20578,1.20265,7.61255e-05,7.61255e-05,7.61255e-05
7,982.936,1.11843,1.38878,1.25876,0.68215,0.65403,0.70247,0.51639,1.03414,1.13128,1.19162,8.70361e-05,8.70361e-05,8.70361e-05
8,1118.45,1.03376,1.30021,1.2455,0.73795,0.65378,0.7201,0.52528,1.01889,1.08965,1.18524,9.73813e-05,9.73813e-05,9.73813e-05
9,1252.39,1.04878,1.24145,1.20179,0.75493,0.65189,0.73982,0.53923,1.0033,1.04599,1.17944,0.00010015,0.00010015,0.00010015
10,1386.59,1.01354,1.22686,1.20736,0.74559,0.67134,0.73734,0.54767,0.99349,1.00641,1.17114,9.77942e-05,9.77942e-05,9.77942e-05
11,1522,1.01021,1.23304,1.2114,0.74445,0.68241,0.74566,0.55332,0.98898,0.9685,1.16763,9.5438e-05,9.5438e-05,9.5438e-05
12,1657.83,1.01447,1.2189,1.22884,0.77314,0.6866,0.76663,0.57356,0.9738,0.92273,1.15588,9.30818e-05,9.30818e-05,9.30818e-05
13,1912.66,1.02272,1.1461,1.19452,0.77401,0.68045,0.77452,0.58625,0.96493,0.89088,1.15009,9.07256e-05,9.07256e-05,9.07256e-05
14,2044.37,1.03022,1.16659,1.19952,0.74243,0.74224,0.78883,0.59837,0.95559,0.87053,1.14415,8.83694e-05,8.83694e-05,8.83694e-05
15,2176.12,0.99964,1.127,1.21022,0.81271,0.72071,0.79913,0.61066,0.94191,0.85727,1.13671,8.60132e-05,8.60132e-05,8.60132e-05
16,2316,1.01438,1.09407,1.20202,0.82839,0.72824,0.80645,0.61674,0.92804,0.83196,1.12803,8.3657e-05,8.3657e-05,8.3657e-05
17,2453.38,1.02023,1.09753,1.19268,0.82667,0.7333,0.81377,0.62273,0.91006,0.81229,1.11727,8.13008e-05,8.13008e-05,8.13008e-05
