epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3597,1.18436,1.5228,1.22476,0.68184,0.51307,0.60846,0.454,1.08554,1.12872,1.12116,8.33e-06,8.33e-06,8.33e-06
2,114.414,1.2081,1.376,1.24259,0.66213,0.5503,0.62618,0.46425,1.07985,1.09187,1.11882,1.74966e-05,1.74966e-05,1.74966e-05
3,173.462,1.24902,1.37855,1.26168,0.69343,0.55368,0.64241,0.4783,1.07329,1.07225,1.11531,2.62861e-05,2.62861e-05,2.62861e-05
4,228.984,1.14435,1.27644,1.23615,0.70192,0.57606,0.65892,0.49198,1.06295,1.04885,1.10834,3.46987e-05,3.46987e-05,3.46987e-05
5,286.683,1.15271,1.22913,1.21574,0.71643,0.60004,0.67422,0.50535,1.04592,1.01382,1.09866,4.27343e-05,4.27343e-05,4.27343e-05
6,340.969,1.07445,1.17553,1.17769,0.72748,0.61302,0.6846,0.51657,1.03816,0.98599,1.09107,5.03929e-05,5.03929e-05,5.03929e-05
7,396.674,1.17616,1.24617,1.21336,0.7402,0.6261,0.69605,0.52806,1.03584,0.96343,1.08743,5.76745e-05,5.76745e-05,5.76745e-05
8,453.828,1.09841,1.19661,1.18107,0.75021,0.64471,0.71037,0.53656,1.03194,0.94403,1.08527,6.45792e-05,6.45792e-05,6.45792e-05
9,509.429,1.06346,1.15027,1.18134,0.79375,0.64893,0.72862,0.55025,1.02217,0.91926,1.07994,7.11068e-05,7.11068e-05,7.11068e-05
10,562.758,1.11197,1.08692,1.15913,0.80413,0.65508,0.75156,0.56444,1.01155,0.89916,1.07576,7.72574e-05,7.72574e-05,7.72574e-05
11,618.798,1.03372,1.05727,1.13769,0.81147,0.65347,0.76091,0.57512,1.00154,0.8688,1.07177,8.30311e-05,8.30311e-05,8.30311e-05
12,673.255,1.1321,1.12393,1.16322,0.82324,0.651,0.75939,0.57811,0.99504,0.84938,1.06809,8.84277e-05,8.84277e-05,8.84277e-05
13,727.459,1.07013,1.11068,1.18124,0.84611,0.65802,0.76899,0.59046,0.98791,0.83405,1.06368,9.07256e-05,9.07256e-05,9.07256e-05
14,780.407,1.08202,1.06295,1.16725,0.8504,0.65733,0.76785,0.59395,0.9797,0.81559,1.05941,8.83694e-05,8.83694e-05,8.83694e-05
15,840.237,1.05904,1.04009,1.16932,0.82346,0.68529,0.7734,0.60102,0.96946,0.80026,1.05335,8.60132e-05,8.60132e-05,8.60132e-05
16,898.515,0.99604,0.97759,1.11571,0.82515,0.6887,0.78297,0.60866,0.95716,0.78544,1.04781,8.3657e-05,8.3657e-05,8.3657e-05
17,958.116,0.99878,0.97064,1.12744,0.84142,0.68456,0.78703,0.61195,0.94549,0.7728,1.04329,8.13008e-05,8.13008e-05,8.13008e-05
18,1010.61,1.03822,1.04808,1.15722,0.87311,0.67967,0.79293,0.61766,0.93854,0.7603,1.03945,7.89446e-05,7.89446e-05,7.89446e-05
19,1062.72,1.04737,0.97284,1.13726,0.86964,0.67844,0.7946,0.61939,0.93304,0.75013,1.03587,7.65884e-05,7.65884e-05,7.65884e-05
20,1115.26,1.00381,0.95629,1.10876,0.83249,0.71187,0.80717,0.628,0.9273,0.74022,1.03113,7.42322e-05,7.42322e-05,7.42322e-05
21,1167.52,0.99595,0.90644,1.1147,0.81947,0.7189,0.80375,0.63202,0.92192,0.73377,1.02746,7.1876e-05,7.1876e-05,7.1876e-05
22,1220.82,0.98422,0.9162,1.10306,0.83076,0.728,0.80581,0.63271,0.91533,0.72441,1.02327,6.95198e-05,6.95198e-05,6.95198e-05
23,1274.54,1.03841,0.94852,1.12931,0.84579,0.72234,0.80891,0.63688,0.90754,0.71508,1.01789,6.71636e-05,6.71636e-05,6.71636e-05
24,1326.63,0.95346,0.89694,1.09951,0.84177,0.7256,0.81046,0.64119,0.90095,0.702,1.01179,6.48074e-05,6.48074e-05,6.48074e-05
25,1381.89,1.04387,0.9171,1.0954,0.85507,0.7189,0.81293,0.6429,0.89631,0.69289,1.00827,6.24512e-05,6.24512e-05,6.24512e-05
26,1434.36,0.98221,0.88556,1.08742,0.79639,0.76964,0.81825,0.64974,0.89233,0.68704,1.00554,6.0095e-05,6.0095e-05,6.0095e-05
