epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.2934,1.22403,1.5354,1.28173,0.69688,0.49747,0.60288,0.4388,1.14418,1.23844,1.21697,8.33e-06,8.33e-06,8.33e-06
2,190.876,1.21385,1.39503,1.28256,0.64364,0.54873,0.62084,0.4536,1.13246,1.19819,1.20959,1.74966e-05,1.74966e-05,1.74966e-05
3,283.172,1.26262,1.42009,1.31663,0.67383,0.54383,0.63178,0.4618,1.12392,1.17247,1.20047,2.62861e-05,2.62861e-05,2.62861e-05
4,375.899,1.14954,1.303,1.29321,0.61947,0.59056,0.6481,0.47399,1.11391,1.13778,1.19061,3.46987e-05,3.46987e-05,3.46987e-05
5,468.765,1.1462,1.23233,1.24383,0.65942,0.60214,0.66216,0.48506,1.1004,1.09681,1.18132,4.27343e-05,4.27343e-05,4.27343e-05
6,559.472,1.09499,1.20905,1.23815,0.69749,0.60069,0.68106,0.50375,1.07846,1.06171,1.16706,5.03929e-05,5.03929e-05,5.03929e-05
7,650.83,1.18757,1.27779,1.25622,0.74838,0.61399,0.69402,0.51411,1.06712,1.03521,1.158,5.76745e-05,5.76745e-05,5.76745e-05
8,1048.69,1.10846,1.21944,1.22575,0.74798,0.62741,0.70805,0.52347,1.05689,1.00985,1.14794,6.45792e-05,6.45792e-05,6.45792e-05
9,1137.95,1.08317,1.16963,1.22742,0.76174,0.62233,0.71847,0.531,1.04556,0.98563,1.13881,7.11068e-05,7.11068e-05,7.11068e-05
10,1327.16,1.07347,1.0897,1.17933,0.77858,0.63918,0.7316,0.54413,1.03958,0.96491,1.13687,7.72574e-05,7.72574e-05,7.72574e-05
11,1414.54,1.04459,1.09159,1.18903,0.7892,0.65237,0.74503,0.55774,1.01986,0.9292,1.12583,8.30311e-05,8.30311e-05,8.30311e-05
12,1502.74,1.14906,1.149,1.21374,0.78619,0.66692,0.75462,0.57069,1.01008,0.90257,1.12039,8.84277e-05,8.84277e-05,8.84277e-05
13,1590.7,1.07528,1.11246,1.22469,0.82694,0.66202,0.76106,0.57171,0.99756,0.87894,1.11231,9.07256e-05,9.07256e-05,9.07256e-05
14,1679.06,1.07561,1.07771,1.21027,0.78761,0.6831,0.77268,0.58298,0.98256,0.85393,1.10405,8.83694e-05,8.83694e-05,8.83694e-05
15,1766.55,1.05657,1.04653,1.20066,0.79335,0.69996,0.7862,0.59961,0.96904,0.83934,1.09746,8.60132e-05,8.60132e-05,8.60132e-05
16,1863.16,1.00927,0.99367,1.16251,0.83071,0.6811,0.78911,0.60321,0.9601,0.8228,1.09403,8.3657e-05,8.3657e-05,8.3657e-05
17,1959.62,1.00013,0.97408,1.16532,0.8408,0.6877,0.79713,0.60915,0.95391,0.80608,1.09079,8.13008e-05,8.13008e-05,8.13008e-05
18,2060.79,1.06021,1.06284,1.2121,0.82925,0.70983,0.80716,0.62259,0.94704,0.79004,1.0881,7.89446e-05,7.89446e-05,7.89446e-05
19,2160.39,1.02992,0.97459,1.1647,0.78636,0.75524,0.81245,0.62508,0.94276,0.77465,1.08637,7.65884e-05,7.65884e-05,7.65884e-05
