epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.4728,1.22403,1.5354,1.28173,0.69688,0.49747,0.60288,0.4388,1.14418,1.23844,1.21697,8.33e-06,8.33e-06,8.33e-06
2,182.027,1.21345,1.39534,1.28225,0.64261,0.54888,0.62061,0.45334,1.13322,1.19847,1.21033,1.72609e-05,1.72609e-05,1.72609e-05
3,275.608,1.26283,1.42104,1.31674,0.6741,0.54311,0.63193,0.46083,1.12414,1.17338,1.20054,2.55636e-05,2.55636e-05,2.55636e-05
4,368.739,1.15002,1.30498,1.29362,0.61142,0.59086,0.6471,0.47405,1.11337,1.13961,1.1902,3.32379e-05,3.32379e-05,3.32379e-05
5,462.287,1.14673,1.23638,1.2442,0.64816,0.60366,0.66084,0.48363,1.10259,1.09981,1.18293,4.02839e-05,4.02839e-05,4.02839e-05
6,557.736,1.09848,1.21189,1.24014,0.6922,0.60115,0.67853,0.50131,1.08387,1.06484,1.17202,4.67016e-05,4.67016e-05,4.67016e-05
7,651.35,1.18964,1.28192,1.25863,0.72467,0.62473,0.69267,0.51353,1.06928,1.03737,1.16206,5.24909e-05,5.24909e-05,5.24909e-05
8,747.682,1.11082,1.22969,1.22867,0.73073,0.62514,0.70185,0.52094,1.05849,1.01205,1.15143,5.76519e-05,5.76519e-05,5.76519e-05
9,843.786,1.08052,1.17427,1.22899,0.76691,0.62422,0.71647,0.52852,1.05017,0.98996,1.1444,6.21846e-05,6.21846e-05,6.21846e-05
10,936.272,1.07767,1.09703,1.18406,0.78401,0.62304,0.71905,0.53321,1.04323,0.97386,1.14151,6.6089e-05,6.6089e-05,6.6089e-05
11,1028.79,1.04772,1.10375,1.19344,0.79861,0.64126,0.73613,0.55366,1.02371,0.93928,1.13137,6.93651e-05,6.93651e-05,6.93651e-05
12,1130.13,1.15121,1.15276,1.21677,0.79261,0.64339,0.74395,0.56037,1.01333,0.91238,1.12452,7.20129e-05,7.20129e-05,7.20129e-05
13,1228.02,1.07818,1.12715,1.22961,0.80591,0.66318,0.75749,0.56711,1.00254,0.88656,1.11633,7.1876e-05,7.1876e-05,7.1876e-05
14,1327.71,1.08087,1.09334,1.21226,0.81658,0.67847,0.76847,0.57808,0.98786,0.862,1.10813,6.7949e-05,6.7949e-05,6.7949e-05
15,1419.4,1.06275,1.07011,1.20397,0.78928,0.69005,0.77722,0.58804,0.97964,0.84551,1.10405,6.4022e-05,6.4022e-05,6.4022e-05
16,1513.4,1.01861,1.01228,1.17093,0.82896,0.67699,0.79214,0.60088,0.97172,0.83122,1.10016,6.0095e-05,6.0095e-05,6.0095e-05
17,1601.59,1.01038,0.98588,1.17003,0.83353,0.68643,0.79282,0.60338,0.96639,0.8184,1.09729,5.6168e-05,5.6168e-05,5.6168e-05
18,1699.62,1.08228,1.09155,1.22348,0.82214,0.69738,0.80036,0.60761,0.95996,0.80557,1.09447,5.2241e-05,5.2241e-05,5.2241e-05
19,1797.46,1.04468,0.99332,1.17229,0.8472,0.6903,0.80364,0.61089,0.9543,0.79487,1.09143,4.8314e-05,4.8314e-05,4.8314e-05
20,1892.63,1.0096,0.96743,1.14805,0.85374,0.69532,0.81001,0.6197,0.94991,0.7868,1.08982,4.4387e-05,4.4387e-05,4.4387e-05
21,1985.65,1.12191,1.14981,1.23392,0.7885,0.7483,0.81631,0.62116,0.94717,0.78037,1.08788,4.046e-05,4.046e-05,4.046e-05
22,2079.19,1.12023,1.08813,1.2291,0.84238,0.70666,0.81585,0.62506,0.94615,0.78118,1.08646,3.6533e-05,3.6533e-05,3.6533e-05
23,2172.61,1.0692,1.01799,1.18169,0.76745,0.74857,0.81358,0.62439,0.9462,0.78578,1.08512,3.2606e-05,3.2606e-05,3.2606e-05
24,2267.96,1.09927,1.04215,1.18856,0.79266,0.74252,0.81476,0.62537,0.94788,0.79041,1.08448,2.8679e-05,2.8679e-05,2.8679e-05
25,2365.28,1.08816,0.99109,1.18906,0.82001,0.71968,0.81401,0.62883,0.94877,0.7934,1.08455,2.4752e-05,2.4752e-05,2.4752e-05
26,2458.19,1.05099,1.01283,1.19386,0.84593,0.70282,0.81215,0.6297,0.94687,0.79103,1.08314,2.0825e-05,2.0825e-05,2.0825e-05
27,2551.68,1.09663,1.00787,1.19844,0.81964,0.73026,0.81304,0.63053,0.94424,0.78594,1.0818,1.6898e-05,1.6898e-05,1.6898e-05
28,2645.27,1.015,0.91306,1.16124,0.80942,0.74107,0.81349,0.63139,0.94229,0.78219,1.08123,1.2971e-05,1.2971e-05,1.2971e-05
29,2735.46,1.00662,0.91366,1.15992,0.81193,0.73951,0.81321,0.63196,0.94058,0.78207,1.07983,9.044e-06,9.044e-06,9.044e-06
30,2829.11,1.02933,0.96108,1.18315,0.80658,0.74634,0.82041,0.63579,0.93831,0.77961,1.07856,5.117e-06,5.117e-06,5.117e-06
