epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.857,1.26562,2.30458,1.38404,0.01378,0.07796,0.01421,0.009,2.5365,5.75541,2.73934,0.00011,0.00011,0.08911
2,272.794,1.27221,2.06713,1.41396,0.0386,0.09579,0.02895,0.01764,2.23752,5.53679,2.54323,0.000229775,0.000229775,0.0772298
3,407.412,1.31651,1.9523,1.42234,0.67341,0.11383,0.12205,0.0772,1.79692,3.8282,1.97838,0.000348634,0.000348634,0.0653486
4,541.142,1.27934,1.79756,1.3616,0.45406,0.24826,0.24416,0.1485,1.67591,3.00727,1.81946,0.000465879,0.000465879,0.0534659
5,680.508,1.29357,1.68312,1.32788,0.54084,0.30848,0.3534,0.22069,1.53212,2.25441,1.66268,0.000580825,0.000580825,0.0415808
6,811.194,1.25385,1.71193,1.37492,0.45963,0.35159,0.37461,0.22371,1.50885,2.25753,1.64069,0.000692799,0.000692799,0.0296928
7,945.884,1.2875,1.68814,1.38357,0.60754,0.38404,0.43856,0.2781,1.43857,2.23965,1.56676,0.000801149,0.000801149,0.0178011
8,1082.49,1.19287,1.60088,1.36216,0.6305,0.40342,0.46736,0.29392,1.37202,1.96226,1.52928,0.000905245,0.000905245,0.00590524
9,1224.29,1.23791,1.62945,1.3273,0.57228,0.38134,0.44702,0.28291,1.37893,2.12894,1.54391,0.000938772,0.000938772,0.000938772
10,1361.46,1.21052,1.55882,1.33098,0.54661,0.40431,0.48206,0.30278,1.43071,2.01925,1.60334,0.000922942,0.000922942,0.000922942
11,1497.55,1.20882,1.59973,1.3538,0.54471,0.46591,0.52989,0.34833,1.31278,1.81808,1.51662,0.000905463,0.000905463,0.000905463
12,1632.29,1.22113,1.57262,1.37229,0.62337,0.44078,0.53582,0.33698,1.36727,1.74769,1.50474,0.000886404,0.000886404,0.000886404
13,1775.66,1.21959,1.51963,1.34797,0.6679,0.49807,0.57903,0.37659,1.34502,1.67858,1.48673,0.000865839,0.000865839,0.000865839
14,1919.15,1.25162,1.52513,1.36783,0.5834,0.57813,0.61435,0.39537,1.27718,1.48669,1.4078,0.000843851,0.000843851,0.000843851
15,2058.36,1.19835,1.45633,1.3518,0.60598,0.55537,0.63536,0.423,1.27533,1.44686,1.40775,0.000820525,0.000820525,0.000820525
16,2198.81,1.20858,1.4232,1.34689,0.58405,0.59483,0.65122,0.4359,1.261,1.51826,1.39458,0.000795954,0.000795954,0.000795954
17,2340.85,1.20749,1.42027,1.33329,0.63102,0.57469,0.66069,0.45746,1.19123,1.41039,1.34672,0.000770234,0.000770234,0.000770234
18,2495.35,1.17502,1.35449,1.31716,0.5888,0.61664,0.67073,0.45504,1.20106,1.34529,1.34314,0.000743468,0.000743468,0.000743468
19,2637.82,1.17654,1.31308,1.32264,0.72746,0.55645,0.68269,0.47118,1.22554,1.28315,1.3673,0.000715761,0.000715761,0.000715761
20,2783.64,1.13437,1.21981,1.27431,0.76241,0.61712,0.73599,0.52075,1.17778,1.19751,1.32015,0.000687222,0.000687222,0.000687222
21,2935.82,1.11053,1.18737,1.2792,0.7785,0.65816,0.77206,0.5487,1.10976,1.13604,1.261,0.000657963,0.000657963,0.000657963
22,3079.9,1.06588,1.17197,1.24802,0.7748,0.67798,0.79525,0.57077,1.03394,1.06365,1.21713,0.000628101,0.000628101,0.000628101
23,3221.05,1.06995,1.10098,1.20584,0.74154,0.71047,0.79524,0.57456,1.01933,1.01981,1.20456,0.000597754,0.000597754,0.000597754
24,3361.56,1.05751,1.12255,1.22769,0.79637,0.67825,0.78569,0.5624,1.0238,0.99438,1.21588,0.00056704,0.00056704,0.00056704
25,3499.61,1.02564,1.13317,1.23619,0.78838,0.71589,0.81033,0.57943,1.01469,0.96824,1.20793,0.000536081,0.000536081,0.000536081
26,3648.45,1.04699,1.08726,1.22504,0.80277,0.73963,0.82473,0.59817,0.98313,0.92022,1.18691,0.000505,0.000505,0.000505
27,3792.26,0.98326,1.04131,1.21645,0.84464,0.76208,0.86071,0.62061,0.95497,0.88564,1.16608,0.000473919,0.000473919,0.000473919
28,3936.45,1.01104,1.03202,1.20426,0.80629,0.76937,0.85902,0.63608,0.93973,0.87073,1.15316,0.00044296,0.00044296,0.00044296
29,4078.26,1.00857,1.00111,1.21382,0.82713,0.7617,0.8636,0.6382,0.92321,0.84251,1.13442,0.000412246,0.000412246,0.000412246
30,4219.65,0.97653,0.96219,1.18992,0.82962,0.77167,0.87106,0.64593,0.91698,0.80575,1.12633,0.000381899,0.000381899,0.000381899
31,4365.08,0.95822,0.92644,1.17567,0.76683,0.81557,0.87339,0.6611,0.89307,0.76256,1.11639,0.000352037,0.000352037,0.000352037
32,4505.02,0.94527,0.89483,1.13622,0.81823,0.80621,0.88131,0.67246,0.87774,0.73936,1.10669,0.000322778,0.000322778,0.000322778
33,4645.82,0.96226,0.91737,1.16265,0.81212,0.82142,0.88663,0.67865,0.85371,0.73197,1.08917,0.000294239,0.000294239,0.000294239
34,4781.34,0.95408,0.94876,1.1537,0.8601,0.80759,0.89441,0.68318,0.84592,0.70528,1.08238,0.000266532,0.000266532,0.000266532
35,4921.62,0.92681,0.90575,1.14909,0.87379,0.81064,0.89672,0.68863,0.83613,0.68412,1.07789,0.000239766,0.000239766,0.000239766
36,5058.14,0.90347,0.83977,1.13725,0.86943,0.81986,0.90384,0.68963,0.82835,0.68276,1.077,0.000214046,0.000214046,0.000214046
37,5206.21,0.95149,0.91369,1.17604,0.88274,0.81754,0.89687,0.69291,0.83508,0.68253,1.07795,0.000189475,0.000189475,0.000189475
38,5349.94,0.86881,0.82275,1.12561,0.85477,0.86469,0.90886,0.70442,0.82258,0.67144,1.07245,0.000166149,0.000166149,0.000166149
39,5487.06,0.87924,0.82916,1.11755,0.87856,0.83866,0.90922,0.71003,0.79719,0.65446,1.0594,0.000144161,0.000144161,0.000144161
40,5627.27,0.86332,0.822,1.14722,0.90475,0.81757,0.9116,0.72267,0.78619,0.64278,1.05161,0.000123596,0.000123596,0.000123596
41,5771.7,0.93695,0.87249,1.19482,0.90607,0.82253,0.91142,0.72292,0.78273,0.63822,1.04543,0.000104537,0.000104537,0.000104537
42,5914.58,0.91197,0.82052,1.16243,0.89573,0.82986,0.91071,0.72011,0.78487,0.63159,1.04184,8.70577e-05,8.70577e-05,8.70577e-05
43,6958.95,0.86072,0.76862,1.11802,0.89074,0.82654,0.90648,0.71747,0.79608,0.63504,1.04409,7.12282e-05,7.12282e-05,7.12282e-05
44,7093.82,0.85655,0.74987,1.11717,0.88991,0.82766,0.90594,0.71209,0.80208,0.63788,1.04616,5.71106e-05,5.71106e-05,5.71106e-05
45,7844.53,0.86632,0.7406,1.10952,0.8829,0.83044,0.90461,0.71185,0.79625,0.63609,1.04455,4.47606e-05,4.47606e-05,4.47606e-05
46,7973.57,0.83607,0.73751,1.10589,0.88691,0.83693,0.90733,0.7165,0.7861,0.63025,1.04109,3.4227e-05,3.4227e-05,3.4227e-05
47,8103.27,0.82983,0.72163,1.1077,0.89296,0.82853,0.90664,0.71932,0.77575,0.62329,1.03706,2.55513e-05,2.55513e-05,2.55513e-05
48,8232.74,0.84352,0.72724,1.11702,0.89516,0.82759,0.90722,0.72406,0.77024,0.62161,1.03532,1.87678e-05,1.87678e-05,1.87678e-05
49,8362.74,0.8617,0.71574,1.11116,0.89159,0.8318,0.90766,0.72515,0.76685,0.62068,1.03445,1.39032e-05,1.39032e-05,1.39032e-05
50,8491.22,0.83608,0.69885,1.118,0.87687,0.83746,0.90679,0.72468,0.76504,0.61976,1.03384,1.09768e-05,1.09768e-05,1.09768e-05
